Designator,Mid X,Mid Y,Rotation,Layer
BT1,879.5088,-199.0852,270.0,top
C1,744.2043,51.689,180.0,top
C10,839.1619,8.4328,0.0,top
C100,633.5098,-64.262,180.0,bottom
C101,689.6438,-67.9958,180.0,bottom
C102,657.6652,-66.7512,180.0,bottom
C103,826.3212,-77.597,0.0,bottom
C104,695.7652,-79.3496,180.0,bottom
C105,657.6398,-81.9658,180.0,bottom
C106,695.8668,-92.1766,0.0,bottom
C107,710.8528,-95.9866,0.0,bottom
C108,671.6098,-97.0534,180.0,bottom
C109,647.4798,-97.3074,0.0,bottom
C11,860.3559,8.1534,0.0,top
C110,695.8668,-107.4674,0.0,bottom
C111,624.6452,-104.9274,180.0,bottom
C112,657.5128,-112.4712,0.0,bottom
C113,622.0544,-112.522,0.0,bottom
C114,674.1752,-115.0112,0.0,bottom
C115,862.4636,-113.792,0.0,bottom
C116,776.9182,-125.1712,180.0,bottom
C117,759.1382,-125.1712,180.0,bottom
C118,741.3836,-125.1712,180.0,bottom
C119,723.8068,-125.222,180.0,bottom
C12,839.9089,-0.8636,0.0,top
C120,674.226,-122.7328,180.0,bottom
C121,666.5298,-122.7328,0.0,bottom
C122,657.6906,-122.7328,0.0,bottom
C123,628.7582,-122.7328,0.0,bottom
C124,855.4532,-113.792,0.0,bottom
C125,707.1444,-132.9182,0.0,bottom
C126,832.6966,-135.4328,180.0,bottom
C127,808.6936,-135.4328,0.0,bottom
C128,651.2136,-141.7066,0.0,bottom
C129,865.5878,-148.0566,180.0,bottom
C13,839.2615,-6.2992,0.0,top
C130,839.0466,-149.4028,180.0,bottom
C131,865.5878,-150.5966,180.0,bottom
C132,664.0152,-155.7274,180.0,bottom
C133,637.3452,-155.8036,180.0,bottom
C134,847.962,-160.9344,180.0,bottom
C135,847.9638,-165.989,180.0,bottom
C136,811.1574,-166.4208,0.0,bottom
C137,875.8258,-173.7106,0.0,bottom
C138,774.4036,-171.0182,0.0,bottom
C139,731.2744,-171.069,180.0,bottom
C14,825.2236,-18.3134,0.0,top
C140,710.9544,-171.0182,0.0,bottom
C141,678.0868,-171.0436,0.0,bottom
C142,651.2644,-171.069,0.0,bottom
C143,670.416,-192.0494,180.0,bottom
C144,751.3404,-204.0636,180.0,bottom
C145,731.1728,-204.0382,180.0,bottom
C146,710.8782,-204.0382,0.0,bottom
C147,655.1252,-216.1032,0.0,bottom
C148,885.9858,-125.857,270.0,bottom
C149,845.3458,-224.2566,180.0,bottom
C15,825.2236,-31.0642,0.0,top
C150,824.975,-224.2566,180.0,bottom
C151,804.7058,-224.2566,180.0,bottom
C152,784.1318,-224.5106,180.0,bottom
C153,761.4242,-229.2096,0.0,bottom
C154,741.4852,-229.5144,0.0,bottom
C155,721.011,-229.5144,0.0,bottom
C156,700.7944,-229.5144,0.0,bottom
C157,741.3582,3.2766,180.0,bottom
C158,741.3582,0.7366,0.0,bottom
C159,884.7836,-136.6502,90.0,bottom
C16,624.8992,-104.8766,0.0,top
C160,882.2182,-136.6538,90.0,bottom
C161,879.856,-148.1582,0.0,bottom
C17,840.216,-43.8018,0.0,top
C18,859.5327,-112.4966,180.0,top
C19,640.0513,-216.7128,180.0,top
C2,659.2263,47.7012,0.0,top
C20,863.3915,-217.9574,180.0,top
C21,756.5964,54.1528,180.0,bottom
C22,837.7766,52.7304,180.0,bottom
C23,680.6522,53.975,0.0,bottom
C24,657.716,54.0512,180.0,bottom
C26,624.7468,53.9496,180.0,bottom
C27,852.9386,50.038,180.0,bottom
C28,756.5982,51.6128,180.0,bottom
C29,741.4598,50.8508,180.0,bottom
C3,671.9029,47.7012,0.0,top
C30,735.0844,50.8508,180.0,bottom
C31,728.7344,50.8508,0.0,bottom
C32,859.2124,47.6758,0.0,bottom
C33,852.9386,47.6758,0.0,bottom
C34,821.2176,46.4566,0.0,bottom
C35,756.5982,49.0728,180.0,bottom
C36,852.9386,45.1104,180.0,bottom
C37,794.6474,42.799,0.0,bottom
C38,754.0836,45.2374,180.0,bottom
C39,747.6828,42.7228,180.0,bottom
C4,652.7909,34.9758,180.0,top
C40,754.2124,40.2082,180.0,bottom
C41,747.6828,40.132,180.0,bottom
C42,859.0516,42.0624,180.0,bottom
C43,852.3968,42.0624,180.0,bottom
C44,747.7082,37.592,180.0,bottom
C45,819.3616,34.9758,180.0,bottom
C46,754.2124,35.052,180.0,bottom
C47,797.1856,32.4612,0.0,bottom
C48,700.9468,32.4104,180.0,bottom
C49,683.2176,32.4866,180.0,bottom
C5,671.9029,36.3474,0.0,top
C50,754.0836,29.9212,180.0,bottom
C51,672.956,27.3558,180.0,bottom
C52,627.4646,27.2796,180.0,bottom
C53,746.411,23.622,180.0,bottom
C54,672.9578,24.8158,0.0,bottom
C55,662.8722,24.765,0.0,bottom
C56,627.4646,24.765,180.0,bottom
C57,627.4664,22.225,180.0,bottom
C58,700.974,19.7358,180.0,bottom
C59,725.0768,17.1704,0.0,bottom
C6,878.5827,37.465,0.0,top
C60,627.4664,19.558,180.0,bottom
C61,725.0768,14.7574,0.0,bottom
C62,849.1558,15.875,0.0,bottom
C63,820.0728,7.0104,180.0,bottom
C64,789.5928,5.7912,180.0,bottom
C65,754.1362,7.112,180.0,bottom
C66,820.0746,4.5974,180.0,bottom
C67,698.3306,7.1628,0.0,bottom
C68,789.6182,2.5908,180.0,bottom
C69,698.3578,4.6482,0.0,bottom
C7,754.3389,23.749,180.0,top
C70,796.1206,-0.5588,0.0,bottom
C71,789.6182,-0.5588,180.0,bottom
C72,783.192,-0.5588,180.0,bottom
C73,669.146,1.905,0.0,bottom
C74,645.0414,1.8542,0.0,bottom
C75,626.0676,1.8034,180.0,bottom
C76,690.6852,-0.6604,0.0,bottom
C77,751.6198,-8.1788,180.0,bottom
C78,768.0282,-11.9888,0.0,bottom
C79,700.8434,-15.8496,0.0,bottom
C8,627.4646,7.1374,0.0,top
C80,751.5436,-20.8026,180.0,bottom
C81,657.6398,-23.5204,180.0,bottom
C82,633.586,-26.0858,180.0,bottom
C83,863.075,-27.94,0.0,bottom
C84,790.8628,-31.1404,180.0,bottom
C85,784.589,-31.1404,0.0,bottom
C86,711.0052,-32.385,0.0,bottom
C87,697.0842,-32.3088,0.0,bottom
C88,751.5182,-36.195,180.0,bottom
C89,657.6906,-36.2966,180.0,bottom
C9,668.13,9.6774,0.0,top
C90,633.6368,-36.3728,180.0,bottom
C91,697.0842,-38.6842,180.0,bottom
C92,657.6906,-41.3258,180.0,bottom
C93,850.4004,-43.8912,180.0,bottom
C94,683.0906,-45.1104,180.0,bottom
C95,850.4004,-46.482,0.0,bottom
C96,633.5098,-50.1904,180.0,bottom
C97,850.3986,-48.9458,0.0,bottom
C98,839.0466,-51.4096,0.0,bottom
C99,657.6652,-61.6458,180.0,bottom
D1,822.943,52.8574,0.0,top
D10,640.0564,50.419,180.0,bottom
D3,839.2752,30.0505,90.0,top
D4,839.2752,24.9959,90.0,top
D5,839.265,19.9367,90.0,top
D6,858.3506,2.0066,90.0,top
D7,873.5906,-171.0182,90.0,top
D8,878.5588,-171.0205,90.0,top
D9,640.031,53.8988,180.0,bottom
DS1,862.2368,-228.3206,90.0,top
F1,647.0226,37.5412,180.0,top
F2,809.481,45.2866,180.0,top
F3,853.931,60.4266,0.0,top
J1,624.5434,57.3664,0.0,top
J10,656.573,-33.5534,0.0,top
J11,680.6268,-33.5534,0.0,top
J12,719.9376,-48.1642,180.0,top
J13,742.8314,-31.0134,0.0,top
J14,876.0426,-30.861,270.0,top
J15,764.4214,-79.2734,180.0,top
J16,811.8806,-99.3902,90.0,top
J17,799.333,-114.808,90.0,top
J18,876.0544,-113.5462,270.0,top
J19,701.6198,-188.3282,0.0,top
J2,643.7966,57.341,0.0,top
J20,721.9144,-188.3282,0.0,top
J21,742.209,-188.3282,0.0,top
J22,762.5036,-188.3282,0.0,top
J23,675.4706,-234.315,270.0,top
J25,626.7314,-218.6808,90.0,top
J3,673.7046,51.816,0.0,top
J4,678.906,57.3156,0.0,top
J5,698.0976,57.3156,0.0,top
J6,728.3478,58.8058,180.0,top
J7,772.3484,58.8058,180.0,top
J8,833.3184,60.1956,180.0,top
J9,632.443,-33.5534,0.0,top
L1,624.962,42.7228,90.0,top
L10,867.1263,42.418,0.0,bottom
L11,658.9563,45.1104,0.0,bottom
L12,754.109,23.622,0.0,bottom
L13,641.1552,10.8458,0.0,bottom
L2,648.8768,52.7558,180.0,bottom
L3,867.0077,50.1904,180.0,bottom
L4,680.7284,50.1904,180.0,bottom
L5,658.9606,50.2412,0.0,bottom
L6,648.8768,48.2346,0.0,bottom
L7,867.0925,45.085,180.0,bottom
L8,845.4177,45.1358,0.0,bottom
L9,680.7284,45.085,180.0,bottom
Q1,642.6284,37.5666,90.0,top
Q2,627.236,22.3874,90.0,top
Q3,839.2752,14.8105,90.0,top
Q4,858.3506,-4.3919,90.0,top
Q6,639.7498,-203.5048,0.0,top
QZ2,624.8484,14.6558,0.0,top
R1,867.0139,53.9496,0.0,bottom
R10,672.956,50.165,180.0,bottom
R100,667.7998,-173.6598,0.0,bottom
R101,657.7414,-177.292,180.0,bottom
R102,651.3406,-177.292,180.0,bottom
R103,651.3406,-181.1782,180.0,bottom
R104,664.0406,-192.024,0.0,bottom
R105,658.9098,-204.089,0.0,bottom
R106,658.9098,-207.9244,0.0,bottom
R107,707.6524,7.1989,90.0,bottom
R108,705.3156,7.1989,90.0,bottom
R109,702.9788,7.1989,90.0,bottom
R11,666.606,50.165,180.0,bottom
R110,845.3311,-221.4118,0.0,bottom
R111,864.3704,-221.9198,0.0,bottom
R112,778.1882,-29.2608,180.0,bottom
R113,642.4569,-211.1756,180.0,bottom
R114,642.4569,-208.8388,0.0,bottom
R115,642.4569,-206.4766,0.0,bottom
R12,771.8382,47.752,180.0,bottom
R13,764.2436,47.7012,0.0,bottom
R14,747.6828,45.8978,180.0,bottom
R15,672.9453,46.4312,180.0,bottom
R16,666.606,46.4312,0.0,bottom
R17,625.966,46.4058,180.0,bottom
R18,672.956,42.6466,0.0,bottom
R19,646.3114,38.7096,0.0,bottom
R2,852.9511,53.9496,0.0,bottom
R20,639.9614,38.7096,0.0,bottom
R21,878.442,37.4396,180.0,bottom
R22,747.7082,34.4424,180.0,bottom
R23,693.276,32.4358,0.0,bottom
R24,808.6067,27.3304,180.0,bottom
R25,797.1981,26.0858,0.0,bottom
R26,647.5814,28.575,0.0,bottom
R27,849.2066,22.2504,180.0,bottom
R28,647.5814,24.892,180.0,bottom
R29,662.8722,21.6154,0.0,bottom
R3,771.8382,54.0766,180.0,bottom
R30,647.5814,20.955,180.0,bottom
R31,685.6413,18.415,0.0,bottom
R32,826.4121,12.2174,180.0,bottom
R33,849.2066,10.8458,0.0,bottom
R34,842.7804,10.8458,0.0,bottom
R35,836.5066,10.8458,0.0,bottom
R36,633.5352,10.8458,0.0,bottom
R37,783.2174,5.7912,180.0,bottom
R38,849.1558,3.1496,0.0,bottom
R39,842.8312,3.1496,0.0,bottom
R4,764.2329,54.0766,0.0,bottom
R40,809.9128,4.5466,180.0,bottom
R41,783.2174,2.5908,180.0,bottom
R42,633.5352,6.9596,0.0,bottom
R43,849.1558,-0.635,0.0,bottom
R44,842.8312,-0.6096,0.0,bottom
R45,836.405,-0.6096,0.0,bottom
R46,776.969,-0.5588,180.0,bottom
R47,754.109,2.0066,0.0,bottom
R48,789.6182,-3.81,0.0,bottom
R49,842.8058,-5.7404,0.0,bottom
R5,741.4598,54.0512,180.0,bottom
R50,820.022,-11.9888,0.0,bottom
R51,803.5374,-11.9888,180.0,bottom
R52,787.0528,-13.2842,0.0,bottom
R53,803.5374,-15.875,180.0,bottom
R54,787.0528,-18.3134,0.0,bottom
R55,787.0528,-22.1742,0.0,bottom
R56,778.1882,-26.0096,0.0,bottom
R57,774.3528,-34.9758,180.0,bottom
R58,826.3212,-66.7258,0.0,bottom
R59,864.3704,-71.9328,0.0,bottom
R6,735.0844,54.0512,180.0,bottom
R60,826.3212,-69.977,0.0,bottom
R61,741.3328,-69.1134,0.0,bottom
R62,826.3212,-74.4474,0.0,bottom
R63,634.8159,-79.4004,0.0,bottom
R64,624.6452,-97.3582,0.0,bottom
R65,647.5052,-101.0412,0.0,bottom
R66,624.6452,-101.219,180.0,bottom
R67,838.3755,-108.0516,180.0,bottom
R68,831.9961,-108.0516,180.0,bottom
R69,681.8059,-111.2266,180.0,bottom
R7,728.7344,54.0512,0.0,bottom
R70,831.9707,-113.7412,180.0,bottom
R71,681.8206,-115.0112,180.0,bottom
R72,651.2644,-112.4458,180.0,bottom
R73,651.366,-122.7074,180.0,bottom
R74,846.7174,-131.6228,180.0,bottom
R75,846.7174,-135.3566,0.0,bottom
R76,669.9949,-133.6294,180.0,bottom
R77,657.6398,-135.3312,0.0,bottom
R78,846.7174,-139.2428,180.0,bottom
R79,846.7174,-142.3924,180.0,bottom
R8,771.8382,50.8254,180.0,bottom
R80,838.9958,-139.2174,180.0,bottom
R81,838.9958,-142.4686,180.0,bottom
R82,818.6758,-145.542,0.0,bottom
R83,852.9912,-149.3774,0.0,bottom
R84,672.829,-148.1328,180.0,bottom
R85,839.072,-152.6286,180.0,bottom
R86,822.562,-154.5082,0.0,bottom
R87,839.072,-155.829,180.0,bottom
R88,651.2644,-154.5082,180.0,bottom
R89,839.072,-158.9786,180.0,bottom
R9,764.2436,50.9778,0.0,bottom
R90,828.8358,-160.782,180.0,bottom
R91,672.9052,-158.2928,180.0,bottom
R92,839.072,-162.1028,180.0,bottom
R93,651.2644,-158.3436,180.0,bottom
R94,672.9052,-162.0774,180.0,bottom
R95,651.2644,-162.1282,0.0,bottom
R96,828.8866,-165.9382,0.0,bottom
R97,822.562,-165.9382,0.0,bottom
R98,651.2644,-165.989,0.0,bottom
R99,875.8004,-169.8244,180.0,bottom
RP1,685.7576,45.339,90.0,top
RP10,807.4744,-125.1539,90.0,top
RP11,822.7144,-125.1631,90.0,top
RP12,794.8587,-147.955,180.0,top
RP13,794.8587,-160.655,180.0,top
RP14,834.0936,-175.8777,270.0,top
RP2,703.5122,45.3372,90.0,top
RP3,840.6468,47.7855,90.0,top
RP4,764.4214,11.1679,270.0,top
RP5,634.4496,-27.1861,90.0,top
RP6,634.4496,-42.4515,90.0,top
RP7,634.4496,-57.7423,90.0,top
RP8,766.9025,-58.9026,0.0,top
RP9,860.6701,-79.502,0.0,top
S1,881.5678,41.6192,0.0,top
S3,658.6812,-235.4072,0.0,top
SW1,634.3734,-235.4072,0.0,top
U1,880.364,30.734,0.0,top
U11,735.3018,45.2628,0.0,top
U2,881.3038,-144.3482,270.0,top
UA10,794.8914,37.6936,90.0,top
UA11,820.2338,37.6936,0.0,top
UA13,858.3506,40.1689,180.0,top
UA4,685.8592,30.1386,90.0,top
UA5,703.563,30.1386,90.0,top
UA7,751.7468,37.7224,180.0,top
UB13,850.7164,22.352,0.0,top
UB2,645.1684,7.112,180.0,top
UB3,660.383,7.112,180.0,top
UC4,685.783,14.7435,270.0,top
UC5,703.4753,14.7689,270.0,top
UC6,723.8068,17.2974,180.0,top
UD11,820.2506,4.594,270.0,top
UD13,850.7164,9.652,0.0,top
UE13,850.7164,-3.048,0.0,top
UE5,695.9008,-8.0772,180.0,top
UE9,782.1446,-15.7318,270.0,top
UF4,693.3896,-38.6454,180.0,top
UG11,825.237,-68.0504,270.0,top
UG4,693.2894,-79.3496,90.0,top
UH1,624.9246,-117.2228,270.0,top
UH2,652.8392,-117.2228,90.0,top
UH3,670.5938,-117.2228,90.0,top
UH5,698.4322,-120.0778,0.0,top
UJ6,727.6422,-130.0226,90.0,top
UJ7,745.346,-129.999,90.0,top
UJ8,763.0752,-129.999,90.0,top
UJ9,780.8552,-129.999,90.0,top
UK11,822.6798,-150.6272,270.0,top
UK14,875.9413,-160.7566,90.0,top
UK2,650.1214,-155.8046,0.0,top
UM10,812.529,-224.2566,180.0,top
UM11,832.849,-224.2566,180.0,top
UM12,853.0928,-224.2566,180.0,top
UM3,662.7706,-204.1398,180.0,top
UM9,792.209,-224.2566,180.0,top
W1,754.236,-99.6646,0.0,top
Y1,693.3776,4.6482,90.0,top
Y2,744.076,-13.1318,0.0,top
Y3,744.076,-28.3972,0.0,top
Y4,744.076,-43.7642,0.0,top
Y5,870.9426,-148.052,270.0,top
Y6,853.169,-170.8404,90.0,top
Y7,680.7284,-181.0004,90.0,top
Y8,877.787,-140.1318,0.0,top
ZF1,647.5122,48.9966,270.0,top
ZF2,810.0906,56.7182,270.0,top
ZF3,853.296,49.0458,90.0,top
ZL1,634.962,39.0192,0.0,top
ZRP4,764.4214,10.0312,270.0,top
